Year_of_Sampling	Date_of_Sampling 	sample-id	forward-absolute-filepath 	reverse-absolute-filepath 	Location	Region	Berry_Type	Year_of_Planting 	Rootstock	Genotype	Treatment	Replicate	Vine	Observed_Diverstiy	Chao1_Diversity	Shannon_Diversity	Evenness_Diversity	AMF_Colonization	Total_Hyphae	Total_Arbuscules	Total_Vesicles	Total_None	Average_Cluster_Count	Average_Cluster_Weight	Average_Harvest	Bulk_Density	pH	EC	Nitrate	Ammonium	Total_Inorganic_N	PMN	Phosphate	N_Leaf	P_Leaf	K_Leaf	S_Leaf	B_Leaf	Ca_Leaf	Mg_Leaf	Zn_Leaf	Mn_Leaf	Fe_Leaf	Cu_Leaf	POXC	MBC	Min_C	Clay_Content	Sand_Content	Normal_Precipitation_cm	Normal_Temperature_C	Vineyard_Age_yr	Soil_K	Soil_Na	Soil_Ca	Soil_Mg	CEC	Soil_Zn	Soil_Mn	Soil_Cu	Soil_Fe	total_anthocyanins	quercetin_aglycone 	quercetin_glycosides 	grape_reaction_product 	tannin	polymeric_anthocyaninstannin_index	polymeric_anthocyanins 	catechintannin_index	catechin	gallic_acid	caftaric_acid 	caffeic_acid 	astilbin																									
2022	25-Jul-22	AR002	/Users/amandarodriguez/Desktop/sequencing-data/AR002_S1_L001_R1_001.fastq(3).gz	/Users/amandarodriguez/Desktop/sequencing-data/AR002_S1_L001_R2_001.fastq.gz	CCA-PN1	Central CA	Pinot Noir (red)	1998	5C	PN x 5C	4	1	1	113	113	2.28	0.48	74	31	1	16	13	42.5	2.19	98.04	1.2	7.82	266	0.0	0.379	0.38	1.8	34.44	22450	4040	11150	4310	49.75	15300	2545	116.85	63.65	570.5	7.85	239.5	170.2	0.912	22.26	26.24	40.7	15.15	24	160	 93	2843.676	609.93	20.03	  3.3	 16.8	  1.7	  5.2	530	73			365	0.014	5	0.293	107	NA																												
2022	25-Jul-22	AR004	/Users/amandarodriguez/Desktop/sequencing-data/AR004_S2_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR004_S2_L001_R2_001.fastq.gz	CCA-PN1	Central CA	Pinot Noir (red)	1998	5C	PN x 5C	4	1	2	94	94	2.62	0.58	98	49	2	13	1	42.5	2.19	98.04	1.2	7.82	266	0.0	0.379	0.38	1.8	34.44	22450	4040	11150	4310	49.75	15300	2545	116.85	63.65	570.5	7.85	239.5	170.2	0.912	22.26	26.24	40.7	15.15	24	160	 93	2843.676	609.93	20.03	  3.3	 16.8	  1.7	  5.2	530	73			365	0.014	5	0.293	107	NA																												
2022	25-Jul-22	AR007	/Users/amandarodriguez/Desktop/sequencing-data/AR007_S3_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR007_S3_L001_R2_001.fastq.gz	CCA-PN1	Central CA	Pinot Noir (red)	1998	5C	PN x 5C	4	1	3	57	57	2.10	0.52	94	47	0	11	3	42.5	2.19	98.04	1.2	7.82	266	0.0	0.379	0.38	1.8	34.44	22450	4040	11150	4310	49.75	15300	2545	116.85	63.65	570.5	7.85	239.5	170.2	0.912	22.26	26.24	40.7	15.15	24	160	 93	2843.676	609.93	20.03	  3.3	 16.8	  1.7	  5.2	530	73			365	0.014	5	0.293	107	NA																												
2022	25-Jul-22	AR008	/Users/amandarodriguez/Desktop/sequencing-data/AR008_S4_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR008_S4_L001_R2_001.fastq.gz	CCA-PN1	Central CA	Pinot Noir (red)	1998	5C	PN x 5C	4	1	3	57	57	2.10	0.52	94	47	0	11	3	42.5	2.19	98.04	1.2	7.82	266	0.0	0.379	0.38	1.8	34.44	22450	4040	11150	4310	49.75	15300	2545	116.85	63.65	570.5	7.85	239.5	170.2	0.912	22.26	26.24	40.7	15.15	24	160	 93	2843.676	609.93	20.03	  3.3	 16.8	  1.7	  5.2	530	73			365	0.014	5	0.293	107	NA																												
2022	25-Jul-22	AR010	/Users/amandarodriguez/Desktop/sequencing-data/AR010_S5_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR010_S5_L001_R2_001.fastq.gz	CCA-PN1	Central CA	Pinot Noir (red)	1998	5C	PN x 5C	4	2	1	89	89	2.56	0.57	92	46	2	15	4	31.2	1.39	47.28	1.2	8.1	310.6	0.0	0.55	0.55	7.76	16.37	21400	5460	11300	4530	51.3	16300	2660	80.4	73	544	7.3	617	133.4	0.608	22.26	26.24	40.7	15.15	24	167	 99	3266.52	662.175	22.60	  4.2	 12.4	  2.3	  5.2	541	99			254	0.024	6	0.374	95	NA																												
2022	25-Jul-22	AR013	/Users/amandarodriguez/Desktop/sequencing-data/AR013_S6_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR013_S6_L001_R2_001.fastq.gz	CCA-PN1	Central CA	Pinot Noir (red)	1998	5C	PN x 5C	4	2	2	77	77	1.97	0.45	98	47	1	13	1	31.2	1.39	47.28	1.2	8.1	310.6	0.0	0.55	0.55	7.76	16.37	21400	5460	11300	4530	51.3	16300	2660	80.4	73	544	7.3	617	133.4	0.608	22.26	26.24	40.7	15.15	24	167	 99	3266.52	662.175	22.60	  4.2	 12.4	  2.3	  5.2	541	99			254	0.024	6	0.374	95	NA																												
2022	25-Jul-22	AR014	/Users/amandarodriguez/Desktop/sequencing-data/AR014_S7_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR014_S7_L001_R2_001.fastq.gz	CCA-PN1	Central CA	Pinot Noir (red)	1999	5C	PN x 5C	4	2	2	77	77	1.97	0.45	98	47	1	13	1	31.2	1.39	47.28	1.2	8.1	310.6	0.0	0.55	0.55	7.76	16.37	21400	5460	11300	4530	51.3	16300	2660	80.4	73	544	7.3	617	133.4	0.608	22.26	26.24	40.7	15.15	23	167	 99	3266.52	662.175	22.60	  4.2	 12.4	  2.3	  5.2	541	99			254	0.024	6	0.374	95	NA																												
2022	25-Jul-22	AR016	/Users/amandarodriguez/Desktop/sequencing-data/AR016_S8_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR016_S8_L001_R2_001.fastq.gz	CCA-PN1	Central CA	Pinot Noir (red)	1998	5C	PN x 5C	4	2	3	41	41	1.86	0.50	86	42	1	6	7	31.2	1.39	47.28	1.2	8.1	310.6	0.0	0.55	0.55	7.76	27.48	21400	5460	11300	4530	51.3	16300	2660	80.4	73	544	7.3	617	133.4	0.608	22.26	26.24	40.7	15.15	24	167	 99	3266.52	662.175	22.60	  4.2	 12.4	  2.3	  5.2	541	99			254	0.024	6	0.374	95	NA																												
2022	25-Jul-22	AR020	/Users/amandarodriguez/Desktop/sequencing-data/AR020_S9_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR020_S9_L001_R2_001.fastq.gz	CCA-PN1	Central CA	Pinot Noir (red)	1998	5C	PN x 5C	4	3	1	88	88	2.71	0.61	92	45	0	15	4	30.3	1.47	57.52	1.2	7.85	264.8	0.0	0.4	0.40	2.09	27.48	21300	4450	10400	4340	51	16600	2600	63.8	71.1	554	6.3	489.60	194.20	0.607	22.26	26.24	40.7	15.15	24	152	103	3006	727.785	21.82	  3.4	 11.7	  2.0	  4.1	527	68			229	0.022	5	0.502	115	NA																												
2022	25-Jul-22	AR022	/Users/amandarodriguez/Desktop/sequencing-data/AR022_S10_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR022_S10_L001_R2_001.fastq.gz	CCA-PN1	Central CA	Pinot Noir (red)	1998	5C	PN x 5C	4	3	2	103	103	3.03	0.65	94	47	0	22	3	30.3	1.47	57.52	1.2	7.85	264.8	0.0	0.4	0.40	2.09	27.48	21300	4450	10400	4340	51	16600	2600	63.8	71.1	554	6.3	489.60	194.20	0.607	22.26	26.24	40.7	15.15	24	152	103	3006	727.785	21.82	  3.4	 11.7	  2.0	  4.1	527	68			229	0.022	5	0.502	115	NA																												
