#OTUID	Taxonomy	Confidence
519886e19c548df3a7d9a7d881e3cb7c	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Dactylonectria;s__Dactylonectria_macrodidyma;sh__SH1083571.09FU	0.98
2645c96ddce6120acd43b772a95e1265	k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.92
5b4680d064caa358a47ba70afde25710	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholomataceae_gen_Incertae_sedis;s__Tricholomataceae_sp;sh__SH1265446.09FU	1.00
d6ffcaf596536806c854cb7cbef35c84	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	1.00
08052ab06bc6c5dd6c68a7281c0ee4d1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae	1.00
9615788f6f106c3f67e8ffd154f52a15	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae;g__Serendipita;s__Serendipita_sp	1.00
ce4529241389eb7e47ce6cb50b1a572e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Botryosphaeria;s__Botryosphaeria_sp;sh__SH0958339.09FU	0.89
20238cd5e1b8443315ce78d5e15b5cec	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Sistotrema;s__Sistotrema_sp;sh__SH1121407.09FU	1.00
5cfa0a28f015e3cc45d255ecf3e17ef3	k__Fungi;p__Ascomycota;c__Sordariomycetes	1.00
a46dc7564f4cb9ce207373e8215bb632	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Minutisphaerales;f__Minutisphaeraceae;g__Minutisphaera;s__Minutisphaera_aspera;sh__SH1297879.09FU	1.00
7d441c75fbb497affd19ad0270482915	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__Cistella_sp;sh__SH0990255.09FU	0.80
0f0fd9ac9c91c3e91cb2eb910b2203dc	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_radicis;sh__SH3152738.09FU	0.78
939486f7a04d13f4a1b1f1413fc39e0b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Mycena;s__Mycena_leptocephala;sh__SH1062686.09FU	0.87
33a354f02f15347e28f9b0c992893b25	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis	0.87
054b8361b756b7342e9bad45825dc046	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma;s__Entoloma_sp;sh__SH1278868.09FU	0.98
43a86211d81d3cba48e0d682a5a2a3cb	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariales_fam_Incertae_sedis;g__Oliveonia	0.81
ae5d23ce8f15151087c35d2236031ff9	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH1036616.09FU	1.00
