#OTU ID	AR002	AR004	AR007	AR008	AR010	AR013	AR014	AR016	AR020	AR022	AR025	AR028	AR031	AR034	AR037	AR040	AR043	AR044	AR046	AR049	AR052	AR055	AR057	AR059	AR062	AR063	AR065	AR074	AR076	AR077	AR078	AR081	AR082	AR084	AR085	AR088	AR090	AR091	AR093	AR094	AR095	AR096	AR098	AR099	AR101	AR102	AR103	AR105	AR107	AR109	AR110	AR112	AR113	AR114	AR116	AR118	AR119	AR120	AR122	AR123	AR124	AR126	AR127	AR129	AR130	AR132	AR133	AR134	AR135	AR136	AR137	AR138	AR139	AR140	AR142	AR144	AR146	AR147	AR149	AR150	AR153	AR154	AR155	AR157	AR159	AR160	AR163	AR164	AR166	AR167	AR170	AR171	AR174	AR176	AR178	AR179	AR181	AR184	AR185	AR187	AR192	AR194	AR196	AR198	AR201	AR202	AR204	AR205	AR207	AR210	AR211	AR213	AR216	AR218	AR220	AR223	AR224	AR227	AR229	AR231	AR233	AR234	AR236	AR239	AR240	AR241	AR242	AR243	AR244	AR245	AR246	AR247	AR248	AR249	AR250	AR251	AR252	AR253	AR255	AR256	AR258	AR259	AR263	AR264	AR266	AR267	AR268	AR270	AR272	AR273	AR275	AR278	AR285	AR288	AR291	AR296	AR298	AR300	AR302	AR304	AR306	AR308	AR310	AR313	AR315	AR317	AR319	AR321	AR324	AR326	AR327	AR329	AR332	AR334	AR335	AR336	AR337	AR339	AR340	AR341	AR342	AR343	AR344	AR346	AR348	AR349	AR351	AR353	AR355	AR357	AR358	AR359	AR361	AR362	AR363	AR364	AR366	AR368	AR370	AR372	AR373	AR376	AR377	AR379	AR381	AR383	AR385	AR387	AR389	AR391	AR418	taxonomy
519886e19c548df3a7d9a7d881e3cb7c	814.0	1705.0	5112.0	5554.0	357.0	1327.0	1315.0	50.0	3278.0	5767.0	3760.0	8198.0	4470.0	3511.0	3300.0	4828.0	2213.0	2746.0	7247.0	837.0	3657.0	3844.0	3105.0	6670.0	2524.0	16387.0	3197.0	701.0	6806.0	6644.0	1776.0	6024.0	4472.0	5580.0	6306.0	4398.0	7243.0	4524.0	8333.0	2249.0	1230.0	2223.0	81.0	3712.0	2269.0	3847.0	1336.0	1475.0	9919.0	6267.0	3208.0	1533.0	1949.0	1766.0	1686.0	2903.0	1572.0	2763.0	917.0	532.0	1265.0	1910.0	2641.0	2422.0	6966.0	3623.0	4684.0	955.0	628.0	2406.0	2990.0	6592.0	8814.0	1172.0	673.0	647.0	4354.0	672.0	110.0	1393.0	2744.0	2012.0	172.0	936.0	1494.0	368.0	513.0	2000.0	4414.0	1817.0	2833.0	448.0	113.0	191.0	4880.0	6758.0	453.0	1072.0	72.0	64.0	5528.0	3950.0	5976.0	6540.0	2625.0	5696.0	1677.0	6978.0	2443.0	6117.0	3809.0	4502.0	8942.0	2755.0	365.0	5184.0	5162.0	5038.0	9420.0	8519.0	398.0	4876.0	3984.0	122.0	262.0	13780.0	17329.0	4312.0	696.0	10233.0	2767.0	11549.0	3669.0	5617.0	1589.0	1515.0	11175.0	5524.0	249.0	2622.0	1808.0	282.0	1375.0	8375.0	3426.0	2452.0	1237.0	487.0	178.0	201.0	1655.0	3094.0	1586.0	5880.0	4995.0	2608.0	1550.0	7578.0	6186.0	3564.0	54.0	320.0	2299.0	5426.0	2952.0	1985.0	896.0	4093.0	3471.0	4070.0	3832.0	986.0	3515.0	263.0	180.0	940.0	1561.0	256.0	1147.0	468.0	60.0	416.0	142.0	1290.0	316.0	849.0	675.0	2897.0	1302.0	155.0	673.0	3060.0	475.0	266.0	2345.0	2608.0	1807.0	325.0	560.0	118.0	2685.0	2130.0	117.0	1622.0	1588.0	7317.0	5450.0	13015.0	942.0	1214.0	4099.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Dactylonectria; s__Dactylonectria_macrodidyma; sh__SH1083571.09FU
2645c96ddce6120acd43b772a95e1265	14.0	6.0	0.0	178.0	210.0	77.0	454.0	0.0	0.0	0.0	6.0	0.0	85.0	38.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	4965.0	1509.0	96.0	0.0	1449.0	0.0	134.0	0.0	0.0	44.0	131.0	0.0	395.0	0.0	0.0	31.0	0.0	7.0	3399.0	14706.0	14148.0	5755.0	2481.0	7115.0	3331.0	16385.0	4390.0	8959.0	5366.0	138.0	1715.0	20423.0	1248.0	6659.0	4193.0	12794.0	11485.0	5294.0	3296.0	4922.0	10783.0	7021.0	2825.0	11987.0	1317.0	9163.0	10942.0	4734.0	9573.0	0.0	2406.0	14106.0	14880.0	12148.0	1335.0	17475.0	19814.0	15116.0	9419.0	2726.0	10137.0	9097.0	270.0	9602.0	3716.0	9494.0	7193.0	6857.0	4476.0	8291.0	616.0	0.0	34.0	19.0	5.0	14.0	13.0	0.0	0.0	0.0	32.0	20.0	35.0	27.0	104.0	126.0	14.0	6.0	0.0	26.0	21.0	10.0	0.0	107.0	4.0	74.0	11.0	35.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	34.0	473.0	0.0	0.0	76.0	11.0	4.0	87.0	258.0	0.0	153.0	112.0	19.0	60.0	16.0	3798.0	32.0	25.0	46.0	70.0	2782.0	264.0	116.0	50.0	3956.0	117.0	126.0	109.0	30.0	1519.0	126.0	48.0	32.0	73.0	932.0	209.0	89.0	3450.0	1176.0	6328.0	860.0	0.0	13.0	0.0	570.0	14.0	13.0	10.0	7.0	98.0	18.0	23.0	34.0	0.0	952.0	6390.0	3885.0	10915.0	239.0	11707.0	48.0	303.0	0.0	15869.0	1102.0	1953.0	640.0	2017.0	2382.0	1857.0	6688.0	9.0	554.0	7.0	2.0	1676.0	5484.0	6605.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes
5b4680d064caa358a47ba70afde25710	83.0	7345.0	1218.0	3866.0	8216.0	12602.0	11977.0	674.0	179.0	86.0	81.0	3433.0	122.0	14122.0	0.0	781.0	0.0	0.0	450.0	12.0	0.0	17.0	419.0	10.0	2334.0	15.0	261.0	7238.0	0.0	12176.0	16229.0	0.0	12.0	51.0	3484.0	3901.0	156.0	48.0	534.0	584.0	8026.0	0.0	6684.0	0.0	1953.0	10473.0	1182.0	136.0	15.0	2399.0	46.0	4542.0	1065.0	728.0	244.0	1809.0	0.0	11412.0	29.0	7221.0	9.0	1539.0	6432.0	4809.0	8524.0	3554.0	0.0	0.0	7847.0	5604.0	0.0	0.0	0.0	7769.0	6008.0	18.0	10.0	12.0	29.0	58.0	10.0	15654.0	4993.0	381.0	749.0	0.0	8889.0	6869.0	0.0	988.0	2344.0	3210.0	13.0	0.0	83.0	94.0	0.0	0.0	25.0	0.0	34.0	10.0	90.0	0.0	143.0	227.0	431.0	102.0	34.0	8.0	107.0	43.0	0.0	0.0	0.0	175.0	0.0	118.0	9.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	34.0	25.0	58.0	0.0	140.0	13.0	87.0	19.0	0.0	192.0	0.0	0.0	419.0	270.0	59.0	12361.0	151.0	150.0	213.0	0.0	521.0	798.0	554.0	104.0	137.0	55.0	14.0	21.0	4982.0	999.0	125.0	251.0	125.0	0.0	108.0	62.0	160.0	91.0	700.0	84.0	200.0	66.0	57.0	8209.0	793.0	172.0	17.0	30.0	8.0	3605.0	39.0	0.0	0.0	17.0	23.0	0.0	22.0	0.0	0.0	220.0	300.0	9754.0	26.0	985.0	23.0	51.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	11.0	6.0	0.0	14.0	29.0	12.0	20.0	18.0	0.0	57.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Tricholomataceae_gen_Incertae_sedis; s__Tricholomataceae_sp; sh__SH1265446.09FU
d6ffcaf596536806c854cb7cbef35c84	409.0	128.0	17.0	70.0	58.0	95.0	25.0	0.0	15.0	42.0	0.0	63.0	107.0	150.0	1146.0	107.0	75.0	169.0	39.0	28.0	0.0	54.0	20.0	7048.0	37.0	135.0	170.0	0.0	0.0	149.0	56.0	685.0	90.0	25.0	17.0	10.0	130.0	0.0	67.0	15.0	62.0	25.0	0.0	214.0	142.0	148.0	99.0	36.0	611.0	103.0	2094.0	775.0	292.0	381.0	103.0	159.0	207.0	0.0	175.0	0.0	109.0	128.0	114.0	2400.0	1561.0	227.0	517.0	0.0	0.0	0.0	167.0	340.0	0.0	277.0	81.0	37.0	55.0	401.0	0.0	31.0	31.0	0.0	25.0	58.0	75.0	11.0	55.0	72.0	72.0	57.0	161.0	145.0	1761.0	1286.0	516.0	812.0	5052.0	21.0	40.0	1265.0	141.0	3018.0	324.0	175.0	2752.0	256.0	1336.0	184.0	173.0	292.0	6031.0	817.0	2081.0	212.0	118.0	415.0	4592.0	884.0	200.0	3465.0	239.0	399.0	55.0	0.0	37.0	211.0	13081.0	824.0	869.0	1885.0	422.0	224.0	99.0	410.0	61.0	336.0	1907.0	8236.0	47.0	435.0	222.0	248.0	217.0	336.0	4302.0	507.0	989.0	77.0	40.0	142.0	123.0	59.0	66.0	0.0	109.0	88.0	97.0	244.0	164.0	178.0	53.0	51.0	2138.0	959.0	434.0	85.0	12.0	458.0	481.0	37.0	169.0	0.0	279.0	714.0	707.0	1247.0	536.0	409.0	221.0	29.0	53.0	91.0	26.0	145.0	587.0	8009.0	149.0	132.0	91.0	0.0	185.0	254.0	235.0	36.0	155.0	48.0	199.0	29.0	65.0	579.0	68.0	463.0	46.0	3881.0	2479.0	20.0	145.0	16.0	614.0	1085.0	130.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium
08052ab06bc6c5dd6c68a7281c0ee4d1	2409.0	24.0	1172.0	772.0	5232.0	9150.0	8279.0	5448.0	6887.0	933.0	855.0	16.0	130.0	173.0	8076.0	10.0	971.0	362.0	0.0	23212.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	8963.0	0.0	484.0	146.0	0.0	0.0	0.0	0.0	16434.0	7424.0	0.0	504.0	25470.0	0.0	0.0	0.0	0.0	0.0	0.0	856.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	66.0	7535.0	0.0	0.0	0.0	0.0	0.0	4073.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	13.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	10.0	0.0	21.0	20.0	0.0	0.0	6019.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	14.0	0.0	0.0	2047.0	9386.0	4879.0	13018.0	2049.0	4069.0	15.0	299.0	0.0	26.0	4308.0	0.0	1587.0	237.0	0.0	12.0	32.0	3068.0	4639.0	27444.0	16207.0	306.0	802.0	5432.0	1663.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1057.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Diaporthaceae
9615788f6f106c3f67e8ffd154f52a15	0.0	0.0	5.0	20.0	10.0	0.0	32.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1466.0	5.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4087.0	1761.0	2761.0	7842.0	10015.0	1175.0	2926.0	107.0	0.0	2646.0	6.0	7432.0	0.0	0.0	0.0	491.0	282.0	521.0	1989.0	151.0	3304.0	317.0	555.0	1951.0	271.0	0.0	0.0	135.0	332.0	1675.0	0.0	0.0	12682.0	324.0	11.0	287.0	0.0	108.0	409.0	0.0	189.0	288.0	424.0	0.0	0.0	874.0	917.0	509.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	177.0	0.0	4.0	0.0	0.0	0.0	15.0	27.0	0.0	19.0	0.0	22.0	0.0	0.0	0.0	0.0	11.0	45.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	18.0	0.0	0.0	0.0	4244.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	183.0	0.0	0.0	81.0	66.0	0.0	112.0	5.0	640.0	96.0	0.0	1426.0	5785.0	2964.0	1756.0	3801.0	2038.0	796.0	6722.0	2318.0	1449.0	4665.0	1827.0	4240.0	3951.0	6047.0	424.0	112.0	3717.0	83.0	6969.0	2824.0	90.0	30.0	39.0	21.0	0.0	599.0	11.0	8.0	0.0	0.0	44.0	17.0	9.0	10.0	19.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5996.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita; s__Serendipita_sp
ce4529241389eb7e47ce6cb50b1a572e	23.0	0.0	0.0	12.0	58.0	0.0	0.0	0.0	2015.0	12.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	1107.0	922.0	163.0	6117.0	0.0	2721.0	3530.0	341.0	1782.0	618.0	200.0	1515.0	1274.0	1008.0	0.0	61.0	425.0	879.0	493.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	137.0	313.0	10.0	0.0	0.0	0.0	0.0	167.0	4.0	0.0	0.0	13.0	0.0	4.0	0.0	7.0	0.0	52.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	12.0	11.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	29.0	36.0	0.0	14.0	102.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	20.0	0.0	0.0	17.0	11.0	0.0	0.0	0.0	0.0	81.0	0.0	68.0	8.0	0.0	9.0	0.0	12.0	15.0	0.0	32.0	2279.0	29.0	0.0	0.0	0.0	0.0	0.0	11.0	62.0	0.0	0.0	134.0	99.0	0.0	25.0	57.0	59.0	31.0	1705.0	1298.0	15.0	75.0	1841.0	3535.0	1342.0	723.0	2126.0	1265.0	235.0	4974.0	2728.0	5487.0	0.0	8.0	161.0	1426.0	16.0	59.0	0.0	253.0	10.0	506.0	11881.0	930.0	0.0	25.0	0.0	0.0	627.0	0.0	0.0	0.0	0.0	74.0	0.0	13.0	15.0	0.0	67.0	0.0	26.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	22.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2046.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__Botryosphaeriaceae; g__Botryosphaeria; s__Botryosphaeria_sp; sh__SH0958339.09FU
20238cd5e1b8443315ce78d5e15b5cec	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	272.0	0.0	240.0	175.0	11.0	3148.0	0.0	0.0	1736.0	36.0	3970.0	3993.0	25443.0	0.0	3711.0	135.0	3490.0	577.0	317.0	39.0	0.0	91.0	66.0	793.0	0.0	0.0	5.0	0.0	0.0	2841.0	0.0	0.0	19.0	0.0	135.0	26.0	954.0	93.0	86.0	57.0	68.0	14.0	0.0	801.0	2253.0	6.0	0.0	1718.0	26.0	80.0	2035.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	31.0	0.0	92.0	97.0	3277.0	9.0	96.0	9.0	342.0	0.0	92.0	39.0	0.0	3.0	887.0	22.0	0.0	59.0	8.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Hydnaceae; g__Sistotrema; s__Sistotrema_sp; sh__SH1121407.09FU
5cfa0a28f015e3cc45d255ecf3e17ef3	15486.0	5190.0	3137.0	6106.0	615.0	0.0	13.0	659.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	836.0	14308.0	13976.0	32.0	0.0	0.0	0.0	0.0	5.0	0.0	18.0	35.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	13.0	0.0	0.0	7.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	122.0	0.0	4.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	23.0	9.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	6.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	30.0	0.0	82.0	0.0	16.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	126.0	0.0	6.0	11.0	0.0	0.0	0.0	0.0	15.0	5.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	453.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	34.0	15.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes
a46dc7564f4cb9ce207373e8215bb632	0.0	4.0	0.0	0.0	26.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	34.0	0.0	0.0	17.0	0.0	0.0	2405.0	10.0	24.0	156.0	38.0	716.0	2267.0	2907.0	37.0	1003.0	0.0	46.0	1087.0	3543.0	7.0	3534.0	3904.0	404.0	638.0	9.0	180.0	413.0	1757.0	105.0	579.0	0.0	186.0	10.0	167.0	842.0	0.0	1528.0	1667.0	954.0	2708.0	114.0	326.0	546.0	118.0	278.0	1127.0	401.0	6650.0	31.0	322.0	38.0	2366.0	10.0	1142.0	60.0	114.0	259.0	77.0	118.0	19.0	0.0	22.0	24.0	598.0	117.0	0.0	574.0	277.0	913.0	187.0	36.0	8.0	209.0	51.0	4863.0	0.0	0.0	140.0	90.0	122.0	5694.0	51.0	0.0	0.0	21.0	0.0	62.0	32.0	11.0	20.0	1095.0	96.0	12.0	218.0	27.0	31.0	0.0	43.0	76.0	0.0	7.0	0.0	294.0	0.0	1542.0	144.0	37.0	79.0	6337.0	2020.0	1123.0	1280.0	3427.0	3051.0	221.0	400.0	967.0	28.0	1045.0	2721.0	95.0	3771.0	1003.0	9499.0	2550.0	428.0	2552.0	422.0	1490.0	3500.0	4186.0	2160.0	2050.0	3928.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	5.0	19.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	6629.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Minutisphaerales; f__Minutisphaeraceae; g__Minutisphaera; s__Minutisphaera_aspera; sh__SH1297879.09FU
